sira_no,ihrac_kodu,lidas_unvani,il,ilce_lokasyon
1,XFL,1001 TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,BALIKESİR,MERKEZ
2,XIP,AFŞİN ELBİSTAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GAZİANTEP,MERKEZ
3,XFX,AFYON BORSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AFYONKARAHİSAR,DİNAR
4,XOZ,AFYON BORSA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AFYONKARAHİSAR,MERKEZ
5,XMD,AĞALAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş,KONYA,KARATAY
6,XJF,AK AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SAKARYA,MERKEZ
7,XMC,AK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,MARDİN,KIZILTEPE
8,XFH,AKBAL HUBUBAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GAZİANTEP,MERKEZ
9,XHL,AKCAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,MARDİN,MERKEZ
10,XHU,AKF AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
11,ALD,AKGÜLLER TAHIL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,MERKEZ
12,XPO,AKSA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,DİYARBAKIR,BİSMİL
13,AKS,AKSARAY İLİ TİCARET BORSASI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,"ARATOL, EŞMEKAYA"
14,XRI,AKSARAY YSM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,MERKEZ
15,XPZ,AKSOYLAR AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KULU
16,ALL,AL LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KAHRAMANMARAŞ,MERKEZ
17,XLT,ALİ KÜRKÜT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,DİYARBAKIR,SİLVAN
18,XNK,ALKIM LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KIRŞEHİR,MERKEZ
19,ATT,ALTILAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
20,ATT,ALTILAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ANKARA,BALA
21,XRO,ALTIN ZİRAAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SAN. TİC. A.Ş.,SİVAS,ALTINYAYLA
22,ALG,ALTINAGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ADANA,CEYHAN
23,XLI,ALTINBAŞAK LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,SAMSUN,HAVZA
