urun,al_depo,al_yer,al_fiyat_tl_ton,sat_depo,sat_yer,sat_fiyat_tl_ton,mesafe_km,navlun_sabit_tl_ton,navlun_degisken_tl_ton,navlun_toplam_tl_ton,fiyat_farki_tl_ton,net_marj_tl_ton
"MISIR 2.SINIF","AŞIROĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/CBEYLİ,12200,"KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,15000,1,164,4,167,2800,2633
"MISIR 2.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12230,"KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,15000,1,164,4,167,2770,2602
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","ALTINBİLEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ESKİŞEHİR/ALPU,14417,"PTB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ANKARA/POLATLI,17500,135,164,408,572,3083,2511
"MISIR 2.SINIF","TAŞKIRAN LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇUMRA,12313,"KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,15000,54,164,163,327,2687,2360
"MISIR 2.SINIF","SAVRANLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY/ESKİL,12200,"KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,15000,129,164,390,554,2800,2246
"MISIR 2.SINIF","REKOLTE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/YUNAK,12200,"KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,15000,148,164,447,611,2800,2189
"MISIR 2.SINIF","KENAN ECER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/EMİRGAZİ,12249,"KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KARATAY,15000,152,164,461,624,2751,2127
"BUĞDAY EKMEKLİK KIRMIZI 1.SINIF","EDİRNE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",EDİRNE/MERKEZ,15378,"TMO TOBB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",EDİRNE/KEŞAN,18000,119,164,360,524,2622,2098
"MISIR 2.SINIF","REKOLTE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/YUNAK,12200,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/YUNAK,14391,0,164,0,164,2191,2027
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","ALTINAGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA/CEYHAN,14000,"İSMAİL HAKAN BALTAOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,17400,401,164,1214,1377,3400,2023
