lidas,il,ilce,toplam_hacim_tl,toplam_miktar_ton,islem_sayisi,urun_cesidi
"BAĞIŞLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,İMAMOĞLU,162380250,13223.5,17,4
"RAMAZANOĞULLARI AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,CEYHAN,129007972,10554.7,3,1
"NERGİZ AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,KOZAN,128966678,10564.7,3,1
"AKGÜLLER TAHIL TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,CEYHAN,89574495,7325.4,2,1
"KAYA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",MERSİN,TARSUS,85298742,6623.0,27,4
"SENTİNUS TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA,HİLVAN,71128267,4392.8,16,3
"SÜPERSON TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ANKARA,POLATLI,59234824,4080.8,29,3
"UMUT LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",OSMANİYE,MERKEZ,52034623,4265.1,1,1
"OĞUZ LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,CEYHAN,46370546,3799.6,2,1
"ÖZTAÇ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA,EYYÜBİYE,45919407,2751.9,18,2
"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KPINAR,43843878,3316.4,17,8
"YUSUF ZENGİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA,KPINAR,41787557,2600.1,12,3
"TEAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",OSMANİYE,KADİRLİ,39941845,3256.1,3,1
"ER MAKİNE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA,KOZAN,36295911,2970.7,3,1
"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA,KPINAR,35496122,2479.1,26,5
"GAP ŞANLIURFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA,EYYÜBİYE,34230033,2117.0,23,5
